============================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
----------------------------------------------------------------------------------------------------------------------------
2019/12/08 07:07:14 12.18  45423  34304 29.1514 29.53  29.36   1.961  7.84   -66.7  -1.2  -0.3     5.2   91.5   8.16    12.5
2019/12/08 07:13:14 12.16  46174  34850 28.6947 30.01  29.90   1.960  7.85   -67.1  -0.6  -0.1     7.7   91.6   8.15    12.4
2019/12/08 07:19:14 12.15  46416  35025 28.5507 30.17  30.07   1.959  7.85   -67.3  -0.5  -0.1     6.5   92.1   8.19    12.4
2019/12/08 07:25:14 12.15  46515  35098 28.4919 30.23  30.14   1.958  7.85   -67.3  -0.8  -0.2     4.8   91.8   8.16    12.4
2019/12/08 07:31:14 12.15  46480  35072 28.5126 30.21  30.12   1.957  7.85   -67.1  -0.1   0.0     5.5   91.7   8.15    12.4
2019/12/08 07:37:14 12.15  46472  35067 28.5165 30.21  30.11   1.956  7.85   -67.3  -1.4  -0.3     5.3   91.8   8.16    12.4
2019/12/08 07:43:14 12.16  46408  35023 28.5523 30.16  30.07   1.953  7.85   -67.3  -0.5  -0.1     5.3   91.7   8.16    12.6
2019/12/08 07:49:14 12.16  46380  35005 28.5674 30.15  30.05   1.952  7.85   -67.2  -0.4  -0.1     5.7   91.7   8.15    12.4
2019/12/08 07:55:14 12.17  46300  34950 28.6121 30.09  29.99   1.949  7.84   -67.0  -0.7  -0.2     7.3   91.4   8.13    12.3
2019/12/08 08:01:14 12.17  46174  34862 28.6843 30.01  29.90   1.947  7.84   -66.8  -0.9  -0.2     8.6   91.3   8.12    12.3
2019/12/08 08:07:14 12.17  46213  34892 28.6602 30.04  29.93   1.945  7.84   -67.0  -0.4  -0.1    10.5   91.3   8.12    12.5
2019/12/08 08:13:14 12.18  46108  34817 28.7213 29.97  29.85   1.943  7.85   -67.0  -0.8  -0.2     9.6   91.5   8.15    12.5
2019/12/08 08:19:14 12.18  46008  34745 28.7810 29.91  29.78   1.941  7.85   -67.4  -1.2  -0.3    10.3   91.3   8.13    12.4
2019/12/08 08:25:14 12.19  45944  34700 28.8183 29.86  29.73   1.939  7.84   -66.9  -0.9  -0.2    10.6   91.3   8.13    12.3
2019/12/08 08:31:14 12.19  45825  34614 28.8898 29.79  29.65   1.937  7.84   -66.8  -0.3  -0.1    11.7   91.4   8.15    12.4
2019/12/08 08:37:14 12.19  45583  34434 29.0414 29.63  29.48   1.935  7.84   -66.8  -0.8  -0.2    12.8   91.1   8.13    12.5
2019/12/08 08:43:14 12.19  45577  34424 29.0496 29.63  29.47   1.933  7.84   -66.8  -0.2   0.0    13.1   91.6   8.17    12.4
2019/12/08 08:49:14 12.19  45507  34370 29.0950 29.58  29.42   1.931  7.84   -66.8  -0.5  -0.1    13.6   91.3   8.14    12.4
2019/12/08 08:55:14 12.19  45399  34290 29.1630 29.51  29.34   1.929  7.84   -66.8  -0.4  -0.1    13.6   91.2   8.14    12.4
2019/12/08 09:01:14 12.18  45421  34302 29.1530 29.52  29.36   1.927  7.84   -66.8  -0.5  -0.1    13.8   91.4   8.16    12.4
2019/12/08 09:07:14 12.24  44232  33449 29.8961 28.75  28.51   1.925  7.84   -66.6  -0.3  -0.1    12.4   92.0   8.25    12.4
2019/12/08 09:13:14 12.23  44170  33398 29.9415 28.71  28.47   1.923  7.84   -66.6  -1.7  -0.4    13.6   91.9   8.24    12.4
2019/12/08 09:19:14 12.24  43868  33176 30.1425 28.51  28.25   1.922  7.84   -66.5  -1.3  -0.3    13.0   92.1   8.27    12.4
2019/12/08 09:25:14 12.23  43893  33189 30.1301 28.53  28.27   1.919  7.84   -66.6  -0.9  -0.2    11.9   92.1   8.27    12.4
2019/12/08 09:31:13 12.25  43315  32770 30.5161 28.15  27.86   1.917  7.84   -66.5  -0.9  -0.2    10.1   92.7   8.34    12.4
2019/12/08 09:37:14 12.26  43066  32587 30.6872 27.99  27.68   1.915  7.84   -66.5  -1.2  -0.3     9.7   92.6   8.34    12.5
2019/12/08 09:43:14 12.26  42866  32439 30.8267 27.86  27.54   1.913  7.84   -66.5  -1.1  -0.2    10.0   93.0   8.38    12.6
2019/12/08 09:49:14 12.27  42806  32396 30.8675 27.82  27.50   1.911  7.83   -66.5  -0.4  -0.1     8.8   93.0   8.38    12.4
2019/12/08 09:55:14 12.26  42926  32479 30.7896 27.90  27.58   1.910  7.84   -66.5  -1.3  -0.3     9.5   92.9   8.37    12.4
2019/12/08 10:01:14 12.25  42982  32519 30.7517 27.94  27.62   1.909  7.83   -66.3  -1.1  -0.3     9.5   92.7   8.35    12.4
2019/12/08 10:07:14 12.24  43187  32662 30.6165 28.07  27.77   1.908  7.83   -66.4  -0.6  -0.1    10.3   92.5   8.33    12.4
2019/12/08 10:13:14 12.26  42896  32454 30.8127 27.88  27.56   1.907  7.83   -66.3  -1.1  -0.2     9.8   92.3   8.32    12.4
2019/12/08 10:19:14 12.26  41659  31524 31.7214 27.08  26.68   1.907  7.84   -66.5  -1.1  -0.3     7.8   93.3   8.45    12.4
2019/12/08 10:25:14 12.27  41268  31234 32.0160 26.82  26.41   1.907  7.83   -66.3  -1.5  -0.3     7.8   93.3   8.47    12.3
2019/12/08 10:31:14 12.28  41025  31060 32.1962 26.67  26.24   1.906  7.83   -66.3  -1.1  -0.2     7.3   93.5   8.49    12.5
2019/12/08 10:37:14 12.29  40744  30856 32.4081 26.48  26.04   1.906  7.83   -66.2  -1.3  -0.3     8.7   93.4   8.50    12.4
2019/12/08 10:43:14 12.30  40693  30824 32.4425 26.45  26.00   1.907  7.83   -66.1  -0.7  -0.2     9.1   93.7   8.52    12.5
2019/12/08 10:49:14 12.30  40830  30926 32.3355 26.54  26.10   1.907  7.83   -66.2  -1.3  -0.3     9.0   93.5   8.49    12.4
2019/12/08 10:55:14 12.30  40883  30964 32.2957 26.57  26.14   1.908  7.83   -66.2  -0.6  -0.1     9.2   93.4   8.48    12.3
2019/12/08 11:01:14 12.30  40787  30893 32.3697 26.51  26.07   1.910  7.83   -66.1  -1.2  -0.3     8.7   93.5   8.50    12.3
2019/12/08 11:07:14 12.30  40673  30809 32.4585 26.44  25.99   1.910  7.84   -66.6   0.0   0.0     8.7   93.4   8.49    12.4
2019/12/08 11:13:14 12.30  40649  30787 32.4811 26.42  25.97   1.911  7.83   -66.2  -1.7  -0.4     8.2   93.6   8.51    12.4
2019/12/08 11:19:14 12.31  40441  30638 32.6395 26.29  25.82   1.912  7.83   -66.2  -1.1  -0.3     7.8   93.5   8.51    12.5
2019/12/08 11:25:14 12.33  40343  30583 32.6974 26.22  25.76   1.914  7.83   -66.2  -1.0  -0.2     9.0   93.8   8.53    12.4
2019/12/08 11:31:14 12.34  40276  30537 32.7476 26.18  25.71   1.915  7.83   -66.2  -0.8  -0.2     9.2   93.7   8.53    12.5
2019/12/08 11:37:14 12.35  40183  30470 32.8189 26.12  25.64   1.918  7.83   -66.2  -0.1   0.0     8.6   93.6   8.53    12.3
2019/12/08 11:43:14 12.33  40328  30572 32.7099 26.21  25.74   1.921  7.83   -66.2  -0.9  -0.2     8.1   93.5   8.51    12.5
2019/12/08 11:49:14 12.32  40529  30713 32.5596 26.34  25.89   1.922  7.83   -66.0  -0.6  -0.1     8.7   93.4   8.50    12.6
2019/12/08 11:55:14 12.32  40496  30691 32.5829 26.32  25.86   1.925  7.83   -66.0  -0.6  -0.1     8.1   93.2   8.48    12.4
2019/12/08 12:01:14 12.33  40323  30567 32.7151 26.21  25.74   1.927  7.83   -66.0  -0.8  -0.2     8.1   93.4   8.50    12.4
2019/12/08 12:07:14 12.33  40190  30465 32.8242 26.12  25.65   1.930  7.83   -66.1  -0.5  -0.1     8.3   93.6   8.53    12.5
2019/12/08 12:13:14 12.32  40035  30339 32.9605 26.02  25.54   1.933  7.83   -66.1  -0.7  -0.2     8.6   93.8   8.55    12.4
2019/12/08 12:19:14 12.31  39900  30232 33.0771 25.94  25.44   1.936  7.83   -66.2  -0.4  -0.1     8.6   93.7   8.55    12.4
2019/12/08 12:25:14 12.31  39849  30190 33.1231 25.90  25.41   1.939  7.83   -66.0  -1.2  -0.3     8.6   93.6   8.54    12.4
2019/12/08 12:31:14 12.31  39950  30269 33.0376 25.97  25.48   1.941  7.83   -66.0  -1.4  -0.3     8.3   93.6   8.54    12.5
2019/12/08 12:37:14 12.31  40016  30320 32.9812 26.01  25.52   1.943  7.82   -65.9  -1.4  -0.3     8.1   93.3   8.51    12.4
2019/12/08 12:43:14 12.32  40041  30340 32.9594 26.03  25.54   1.947  7.82   -65.7  -0.8  -0.2     8.0   93.1   8.49    12.5
2019/12/08 12:49:14 12.31  40112  30391 32.9049 26.07  25.59   1.949  7.83   -65.9  -1.2  -0.3     7.9   93.1   8.49    12.4
2019/12/08 12:55:14 12.31  40073  30360 32.9382 26.05  25.56   1.953  7.83   -65.9  -0.9  -0.2     8.3   93.3   8.51    12.4
2019/12/08 13:01:15 12.31  40052  30342 32.9578 26.03  25.55   1.957  7.83   -66.0  -0.9  -0.2     9.8   93.4   8.52    12.3
2019/12/08 13:07:14 12.31  40119  30394 32.9017 26.08  25.60   1.959  7.83   -65.9  -0.9  -0.2     7.9   93.2   8.50    12.4
2019/12/08 13:13:14 12.30  40077  30358 32.9398 26.05  25.57   1.963  7.83   -66.0  -0.6  -0.1     8.1   93.4   8.51    12.4
2019/12/08 13:19:15 12.30  40016  30312 32.9902 26.01  25.52   1.967  7.83   -66.0  -1.0  -0.2     7.9   93.4   8.52    12.5
2019/12/08 13:25:14 12.30  40088  30367 32.9308 26.06  25.57   1.970  7.83   -66.0  -1.1  -0.2     6.9   92.8   8.46    12.4
2019/12/08 13:31:14 12.30  40044  30332 32.9690 26.03  25.54   1.975  7.82   -65.9  -0.7  -0.2     7.1   93.1   8.49    12.4
2019/12/08 13:37:14 12.30  40021  30314 32.9876 26.01  25.53   1.979  7.82   -65.9  -0.9  -0.2     7.2   93.3   8.51    12.4
2019/12/08 13:43:14 12.31  40091  30371 32.9266 26.06  25.58   1.983  7.82   -65.9  -0.7  -0.2     7.3   92.5   8.43    12.4
2019/12/08 13:49:14 12.31  40151  30419 32.8737 26.10  25.62   1.987  7.82   -65.7  -1.0  -0.2     7.3   92.6   8.44    12.3
2019/12/08 13:55:14 12.30  40183  30438 32.8542 26.12  25.64   1.991  7.82   -65.7  -0.1   0.0     7.6   91.9   8.37    12.4
2019/12/08 14:01:14 12.30  40285  30513 32.7732 26.19  25.71   1.996  7.82   -65.9  -0.1   0.0     7.4   91.3   8.31    12.4
2019/12/08 14:07:14 12.30  40404  30601 32.6791 26.26  25.80   2.001  7.83   -65.9  -0.5  -0.1     7.3   92.6   8.43    12.4
2019/12/08 14:13:14 12.29  40827  30915 32.3467 26.54  26.10   2.006  7.83   -66.0  -0.6  -0.1     7.9   93.2   8.48    12.4
2019/12/08 14:19:14 12.27  41771  31616 31.6298 27.15  26.76   2.010  7.83   -66.1  -1.4  -0.3     7.4   92.8   8.40    12.4
2019/12/08 14:25:14 12.27  41304  31263 31.9865 26.85  26.43   2.015  7.83   -66.0  -1.2  -0.3     6.4   93.0   8.44    12.3
2019/12/08 14:31:14 12.25  42045  31810 31.4366 27.33  26.96   2.019  7.83   -66.2  -0.7  -0.1     6.2   92.6   8.38    12.4
2019/12/08 14:37:14 12.26  41791  31620 31.6254 27.16  26.78   2.024  7.83   -66.2  -0.9  -0.2     5.7   91.3   8.27    12.4
2019/12/08 14:43:14 12.23  43197  32660 30.6183 28.08  27.77   2.029  7.83   -66.2  -1.0  -0.2     5.3   90.9   8.18    12.5
2019/12/08 14:49:14 12.23  43570  32941 30.3569 28.32  28.04   2.033  7.83   -66.2  -0.8  -0.2     5.9   90.0   8.10    12.5
2019/12/08 14:55:14 12.22  44112  33347 29.9880 28.67  28.42   2.038  7.83   -66.2  -1.9  -0.4     4.7   90.1   8.08    12.4
2019/12/08 15:01:14 12.21  44848  33892 29.5058 29.15  28.95   2.042  7.84   -66.8  -1.3  -0.3     6.5   92.4   8.26    12.4
2019/12/08 15:07:14 12.21  45403  34309 29.1472 29.51  29.35   2.046  7.84   -66.8  -0.6  -0.1     5.3   91.9   8.20    12.4
2019/12/08 15:13:14 12.18  45999  34735 28.7891 29.90  29.77   2.050  7.84   -66.9  -0.6  -0.1     5.2   91.8   8.18    12.4
2019/12/08 15:19:14 12.18  46096  34808 28.7293 29.96  29.84   2.055  7.84   -67.0  -0.8  -0.2     6.1   91.8   8.17    12.4
2019/12/08 15:25:14 12.19  45345  34251 29.1962 29.47  29.30   2.062  7.84   -66.9  -0.6  -0.1     5.2   92.1   8.22    12.4
2019/12/08 15:31:14 12.20  44587  33685 29.6872 28.98  28.76   2.068  7.84   -66.9  -0.5  -0.1     5.0   92.2   8.26    12.4
2019/12/08 15:37:14 12.20  44626  33714 29.6614 29.01  28.79   2.073  7.84   -66.8  -0.6  -0.1     5.3   92.5   8.28    12.3
2019/12/08 15:43:14 12.21  44162  33372 29.9652 28.71  28.46   2.080  7.84   -66.5  -1.2  -0.3     5.1   92.1   8.26    12.4
2019/12/08 15:49:14 12.21  44082  33312 30.0196 28.65  28.40   2.086  7.84   -66.8  -1.8  -0.4     5.9   92.5   8.30    12.4
2019/12/08 15:55:14 12.21  44023  33267 30.0602 28.61  28.36   2.092  7.84   -66.7  -1.2  -0.3     4.9   91.7   8.23    12.5
2019/12/08 16:01:14 12.20  44531  33646 29.7208 28.95  28.72   2.098  7.84   -66.7  -0.9  -0.2     4.8   91.2   8.17    12.4
2019/12/08 16:07:14 12.20  44923  33937 29.4668 29.20  29.00   2.105  7.84   -66.8  -1.5  -0.3     5.0   90.8   8.12    12.3
2019/12/08 16:13:14 12.19  45637  34469 29.0118 29.66  29.51   2.111  7.84   -67.0  -0.3  -0.1     6.7   91.9   8.19    12.4
2019/12/08 16:19:14 12.19  46081  34802 28.7342 29.95  29.83   2.117  7.85   -67.1  -1.8  -0.4     6.1   90.6   8.07    12.5
2019/12/08 16:25:14 12.19  46107  34821 28.7181 29.97  29.85   2.123  7.85   -67.1  -0.8  -0.2     5.4   90.3   8.04    12.3
2019/12/08 16:31:15 12.18  46263  34938 28.6217 30.07  29.96   2.129  7.85   -67.3  -1.1  -0.3     7.1   91.4   8.13    12.5
2019/12/08 16:37:14 12.19  45933  34694 28.8231 29.86  29.73   2.135  7.85   -67.1  -1.2  -0.3     5.0   91.0   8.10    12.4
2019/12/08 16:43:14 12.19  45653  34485 28.9978 29.67  29.53   2.141  7.85   -67.2  -0.3  -0.1     4.6   91.1   8.12    12.4
2019/12/08 16:49:14 12.19  45566  34421 29.0521 29.62  29.46   2.147  7.84   -67.0  -1.5  -0.3     4.6   90.2   8.04    12.5
2019/12/08 16:55:14 12.19  46014  34754 28.7737 29.91  29.78   2.151  7.85   -67.1  -1.3  -0.3     5.6   89.6   7.98    12.4
2019/12/08 17:01:14 12.19  46018  34760 28.7689 29.91  29.79   2.156  7.85   -67.1  -2.1  -0.5     5.1   90.0   8.01    12.3
2019/12/08 17:07:14 12.19  46693  35267 28.3554 30.35  30.27   2.160  7.85   -67.5  -1.4  -0.3     5.1   90.6   8.04    12.4
2019/12/08 17:13:14 12.19  46852  35388 28.2584 30.45  30.39   2.164  7.85   -67.5  -0.7  -0.2     5.4   89.9   7.98    12.4
2019/12/08 17:19:14 12.19  46905  35430 28.2249 30.49  30.43   2.168  7.86   -67.6  -1.6  -0.4     4.7   90.0   7.98    12.5
2019/12/08 17:25:14 12.20  46785  35344 28.2935 30.41  30.34   2.173  7.86   -67.7  -1.4  -0.3     4.1   90.2   8.00    12.5
2019/12/08 17:31:14 12.19  46556  35169 28.4342 30.26  30.17   2.178  7.85   -67.6  -0.7  -0.2     4.2   90.7   8.05    12.4
2019/12/08 17:37:14 12.20  46362  35026 28.5499 30.14  30.04   2.182  7.85   -67.4  -1.1  -0.3     4.1   89.9   7.99    12.4
2019/12/08 17:43:14 12.20  46439  35084 28.5030 30.19  30.09   2.187  7.85   -67.5  -1.1  -0.3     3.9   90.5   8.04    12.5
2019/12/08 17:49:14 12.20  46824  35372 28.2709 30.44  30.37   2.191  7.85   -67.3  -0.9  -0.2     4.6   90.6   8.03    12.5
2019/12/08 17:55:14 12.21  46527  35159 28.4421 30.24  30.15   2.194  7.86   -67.7  -1.8  -0.4     4.4   91.2   8.10    12.4
2019/12/08 18:01:14 12.21  46680  35279 28.3452 30.34  30.26   2.197  7.86   -67.9  -1.4  -0.3     4.3   90.6   8.03    12.4
2019/12/08 18:07:14 12.22  46695  35293 28.3343 30.35  30.28   2.200  7.86   -68.1  -1.0  -0.2     6.5   92.6   8.21    12.3
2019/12/08 18:13:14 12.22  46706  35301 28.3280 30.36  30.28   2.202  7.86   -67.9  -1.3  -0.3     4.0   91.3   8.10    12.4
2019/12/08 18:19:14 12.22  46897  35453 28.2063 30.48  30.42   2.204  7.86   -68.1  -0.7  -0.2     3.8   91.4   8.10    12.4
2019/12/08 18:25:14 12.23  47073  35596 28.0933 30.60  30.55   2.205  7.87   -68.4   0.5   0.1     4.4   92.3   8.17    12.4
2019/12/08 18:31:14 12.24  47229  35718 27.9973 30.70  30.66   2.206  7.87   -68.5  -1.0  -0.2     4.2   92.3   8.16    12.4
2019/12/08 18:37:14 12.25  47168  35679 28.0279 30.66  30.62   2.207  7.87   -68.5  -0.2  -0.1     4.6   92.1   8.14    12.4
2019/12/08 18:43:14 12.26  47197  35712 28.0019 30.68  30.64   2.207  7.87   -68.4  -0.4  -0.1     4.5   91.4   8.08    12.4
2019/12/08 18:49:14 12.27  47745  36133 27.6757 31.03  31.03   2.207  7.89   -69.6  -0.5  -0.1     6.4   92.9   8.19    12.4
2019/12/08 18:55:14 12.27  47902  36255 27.5825 31.14  31.15   2.206  7.89   -69.3   0.0   0.0     6.1   93.1   8.20    12.4
2019/12/08 19:01:14 12.27  47843  36213 27.6145 31.10  31.11   2.207  7.89   -69.4  -1.6  -0.4     4.5   92.4   8.15    12.5
2019/12/08 19:07:14 12.27  47989  36319 27.5335 31.19  31.21   2.206  7.89   -69.3  -1.3  -0.3     4.6   92.4   8.14    12.5
2019/12/08 19:13:14 12.27  48038  36356 27.5054 31.22  31.25   2.205  7.89   -69.3  -0.2   0.0     4.0   92.3   8.13    12.5
2019/12/08 19:19:14 12.27  47782  36164 27.6518 31.06  31.06   2.204  7.88   -69.1  -0.5  -0.1     5.0   91.8   8.10    12.4
2019/12/08 19:25:14 12.26  47813  36179 27.6406 31.08  31.08   2.202  7.88   -69.2  -0.9  -0.2     5.3   92.0   8.11    12.4
2019/12/08 19:31:14 12.25  47650  36049 27.7402 30.97  30.97   2.200  7.88   -69.0  -0.4  -0.1     6.6   91.9   8.11    12.4
2019/12/08 19:37:14 12.25  47751  36123 27.6832 31.04  31.04   2.198  7.88   -69.0  -0.9  -0.2     7.6   92.3   8.14    12.4
2019/12/08 19:43:14 12.25  47400  35853 27.8920 30.81  30.78   2.195  7.87   -68.6  -0.3  -0.1    12.6   91.8   8.11    12.4
2019/12/08 19:49:14 12.25  47170  35687 28.0218 30.66  30.62   2.191  7.87   -68.4  -0.5  -0.1    11.8   91.7   8.11    12.3
2019/12/08 19:55:14 12.27  46966  35545 28.1334 30.53  30.47   2.188  7.87   -68.4  -0.8  -0.2    15.8   91.8   8.12    12.4
2019/12/08 20:01:14 12.27  46964  35546 28.1326 30.53  30.47   2.184  7.87   -68.3   0.4   0.1    23.8   91.9   8.13    12.3
2019/12/08 20:07:14 12.28  46863  35476 28.1884 30.46  30.40   2.180  7.87   -68.3   0.4   0.1    23.3   92.4   8.18    12.4
2019/12/08 20:13:14 12.28  46722  35374 28.2693 30.37  30.30   2.176  7.87   -68.2  -0.5  -0.1    18.4   92.3   8.17    12.4
2019/12/08 20:19:14 12.29  46421  35154 28.4460 30.17  30.08   2.173  7.86   -67.9   0.0   0.0    16.7   92.4   8.19    12.4
2019/12/08 20:25:14 12.28  46390  35123 28.4713 30.15  30.06   2.169  7.86   -67.9  -0.3  -0.1    19.9   91.4   8.11    12.5
2019/12/08 20:31:14 12.33  45632  34589 28.9110 29.66  29.52   2.163  7.86   -67.7  -1.1  -0.3    18.4   92.4   8.21    12.5
2019/12/08 20:37:14 12.42  44430  33753 29.6271 28.88  28.66   2.158  7.85   -67.4  -0.1   0.0    17.8   92.8   8.28    12.4
2019/12/08 20:43:14 12.46  43876  33368 29.9687 28.52  28.26   2.156  7.85   -67.4  -1.3  -0.3    17.7   92.6   8.27    12.5
2019/12/08 20:49:14 12.48  43614  33186 30.1336 28.35  28.08   2.153  7.85   -67.4  -1.2  -0.3    16.4   93.0   8.32    12.4
2019/12/08 20:55:14 12.60  42771  32645 30.6330 27.80  27.48   2.145  7.85   -67.3   0.5   0.1    18.9   93.9   8.41    12.3
2019/12/08 21:01:14 12.63  42190  32224 31.0331 27.42  27.07   2.137  7.85   -67.1  -0.5  -0.1    17.0   94.1   8.44    12.4
2019/12/08 21:07:14 12.57  41899  31949 31.2997 27.23  26.86   2.122  7.84   -66.9  -0.2   0.0    12.4   94.0   8.46    12.4
2019/12/08 21:13:14 12.55  41890  31930 31.3188 27.23  26.86   2.099  7.84   -66.8  -1.0  -0.2    14.1   93.9   8.45    12.4
2019/12/08 21:19:15 12.56  41760  31841 31.4062 27.14  26.76   2.075  7.84   -66.8  -0.6  -0.1    12.6   93.6   8.42    12.5
2019/12/08 21:25:14 12.57  41827  31900 31.3481 27.19  26.81   2.050  7.84   -66.9  -0.3  -0.1    12.3   94.0   8.46    12.5
2019/12/08 21:31:14 12.58  41770  31859 31.3884 27.15  26.77   2.024  7.84   -66.9  -0.8  -0.2    13.7   93.9   8.45    12.4
2019/12/08 21:37:14 12.56  41260  31457 31.7899 26.82  26.41   1.997  7.84   -66.9  -1.2  -0.3    11.9   93.9   8.47    12.4
2019/12/08 21:43:14 12.47  41067  31240 32.0100 26.69  26.27   1.971  7.84   -67.0  -0.8  -0.2    10.8   94.3   8.53    12.4
2019/12/08 21:49:14 12.49  41006  31208 32.0436 26.65  26.23   1.939  7.84   -66.9  -0.3  -0.1    10.3   94.4   8.53    12.4
2019/12/08 21:55:14 12.50  41026  31234 32.0165 26.67  26.24   1.910  7.84   -66.8  -0.3  -0.1    10.5   94.3   8.52    12.4
2019/12/08 22:01:14 12.53  41011  31247 32.0030 26.66  26.23   1.881  7.84   -66.8   0.5   0.1    11.4   94.4   8.53    12.5
2019/12/08 22:07:14 12.61  41005  31300 31.9491 26.65  26.23   1.850  7.84   -66.9  -0.5  -0.1    12.3   94.7   8.55    12.5
2019/12/08 22:13:14 12.57  41153  31385 31.8621 26.75  26.33   1.823  7.84   -66.7   0.0   0.0    13.4   94.4   8.51    12.5
2019/12/08 22:19:14 12.60  41296  31513 31.7332 26.84  26.44   1.795  7.84   -66.8  -0.2  -0.1    12.6   94.2   8.49    12.5
2019/12/08 22:25:14 12.55  41434  31584 31.6611 26.93  26.53   1.772  7.84   -66.6  -0.5  -0.1    13.6   93.8   8.45    12.4
2019/12/08 22:31:13 12.60  41514  31679 31.5669 26.98  26.59   1.746  7.84   -66.5  -0.8  -0.2    10.9   93.3   8.40    12.4
2019/12/08 22:37:13 12.61  41385  31594 31.6513 26.90  26.50   1.725  7.83   -66.3  -0.6  -0.1    12.5   93.8   8.45    12.4
2019/12/08 22:43:14 12.64  41296  31549 31.6969 26.84  26.44   1.703  7.83   -66.3  -0.1   0.0    12.5   93.6   8.42    12.4
2019/12/08 22:49:14 12.63  41324  31563 31.6827 26.86  26.46   1.683  7.83   -66.3  -1.1  -0.3    12.2   93.5   8.42    12.4
2019/12/08 22:55:14 12.64  41288  31539 31.7067 26.84  26.43   1.663  7.83   -66.4  -0.9  -0.2    11.5   93.5   8.42    12.4
2019/12/08 23:01:15 12.66  41049  31376 31.8710 26.68  26.26   1.645  7.83   -66.3  -1.0  -0.2    12.5   93.7   8.44    12.7
2019/12/08 23:07:14 12.73  40883  31301 31.9476 26.57  26.15   1.626  7.83   -66.3  -0.8  -0.2    10.3   93.9   8.45    12.4
2019/12/08 23:13:14 12.75  40659  31147 32.1058 26.43  25.99   1.611  7.83   -66.3  -0.6  -0.1    11.2   94.2   8.49    12.5
2019/12/08 23:19:14 12.77  40590  31105 32.1487 26.38  25.94   1.600  7.83   -66.3  -1.2  -0.3     9.7   94.4   8.51    12.4
2019/12/08 23:25:14 12.76  40590  31102 32.1522 26.38  25.94   1.591  7.83   -66.1  -0.8  -0.2     8.8   94.1   8.47    12.4
2019/12/08 23:31:14 12.74  40652  31136 32.1174 26.42  25.99   1.582  7.83   -66.3  -0.9  -0.2     9.2   94.2   8.48    12.3
2019/12/08 23:37:14 12.68  40454  30937 32.3237 26.30  25.84   1.575  7.83   -66.2  -1.0  -0.2    15.4   93.9   8.48    12.4
2019/12/08 23:43:14 12.61  40075  30590 32.6901 26.05  25.58   1.568  7.83   -66.2   0.3   0.1    25.9   93.8   8.49    12.4
2019/12/08 23:49:14 12.58  39859  30404 32.8901 25.91  25.42   1.559  7.83   -66.2   0.2   0.0    27.3   93.4   8.47    12.4
2019/12/08 23:55:14 12.59  39990  30508 32.7780 25.99  25.51   1.550  7.83   -66.1  -0.3  -0.1    26.0   93.7   8.49    12.4
2019/12/09 00:01:14 12.55  39776  30320 32.9812 25.85  25.36   1.543  7.83   -66.0  -0.3  -0.1    26.6   93.4   8.48    12.5
2019/12/09 00:07:14 12.53  39652  30208 33.1033 25.77  25.28   1.536  7.83   -66.0  -0.4  -0.1    30.7   93.0   8.45    12.4
2019/12/09 00:13:14 12.52  39713  30249 33.0594 25.81  25.32   1.529  7.83   -66.0  -0.1   0.0    30.8   93.4   8.49    12.4
2019/12/09 00:19:14 12.53  39408  30026 33.3046 25.62  25.10   1.525  7.83   -66.0   0.6   0.1    26.5   93.7   8.53    12.4
2019/12/09 00:25:14 12.53  39487  30079 33.2462 25.67  25.16   1.522  7.82   -65.9  -0.8  -0.2    26.4   93.5   8.50    12.4
2019/12/09 00:31:14 12.54  39344  29979 33.3567 25.57  25.06   1.521  7.82   -65.9  -0.9  -0.2    25.5   93.5   8.51    12.4
2019/12/09 00:37:14 12.55  39144  29834 33.5188 25.44  24.92   1.521  7.82   -65.9  -0.4  -0.1    25.8   93.5   8.51    12.5
2019/12/09 00:43:14 12.57  38753  29549 33.8417 25.19  24.64   1.523  7.82   -65.9  -0.2  -0.1    23.6   93.7   8.54    12.4
2019/12/09 00:49:14 12.58  38401  29292 34.1396 24.96  24.40   1.526  7.83   -65.9   0.0   0.0    24.7   93.7   8.56    12.4
2019/12/09 00:55:14 12.57  38501  29362 34.0578 25.03  24.47   1.529  7.82   -65.7  -0.4  -0.1    20.6   93.5   8.53    12.4
2019/12/09 01:01:14 12.58  38462  29334 34.0896 25.00  24.44   1.532  7.82   -65.8  -0.4  -0.1    21.7   93.3   8.52    12.5
2019/12/09 01:07:14 12.58  38413  29298 34.1322 24.97  24.41   1.535  7.82   -65.8  -0.5  -0.1    22.5   93.5   8.54    12.3
2019/12/09 01:13:14 12.58  38362  29262 34.1743 24.94  24.37   1.538  7.82   -65.7  -0.4  -0.1    21.0   93.4   8.53    12.4
2019/12/09 01:19:14 12.58  38350  29253 34.1846 24.93  24.36   1.542  7.82   -65.8  -0.9  -0.2    20.1   93.4   8.53    12.5
2019/12/09 01:25:14 12.58  38421  29305 34.1237 24.97  24.41   1.546  7.82   -65.7  -1.1  -0.2    20.5   93.2   8.51    12.4
