Gran Titration Data Report - Nielsen Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sample ID,,,,,,,,,,,Name,,,,,Result,,,,,,,,,State,,,,
,24,,,1.5170,,,,,,195.2,,,0.0010,,,,20.7,,,3.4,,,,,,,,,,,,
,25,,,1.5195,,,,,,196.1,,,0.0025,,,,20.7,,,0.9,,,,,,,,,,,,
,26,,,1.5240,,,,,,196.9,,,0.0045,,,,20.7,,,0.8,,,,,,,,,,,,
,27,,,1.5305,,,,,,197.7,,,0.0065,,,,20.7,,,0.8,,,,,,,,,,,,
,28,,,1.5400,,,,,,199.0,,,0.0095,,,,20.7,,,1.3,,,,,,,,,,,,
,29,,,1.5530,,,,,,200.7,,,0.0130,,,,20.7,,,1.7,,,,,,,,,,,,
,30,,,1.5690,,,,,,202.9,,,0.0160,,,,20.7,,,2.2,,,,,,,,,,,,
,31,,,1.5880,,,,,,205.0,,,0.0190,,,,20.7,,,2.1,,,,,,,,,,,,
,32,,,1.6065,,,,,,207.8,,,0.0185,,,,20.7,,,2.8,,,,,,,,,,,,
,33,,,1.6270,,,,,,210.6,,,0.0205,,,,20.7,,,2.8,,,,,,,,,,,,
,34,,,1.6455,,,,,,212.9,,,0.0185,,,,20.7,,,2.3,,,,,,,,,,,,
,35,,,1.6630,,,,,,215.0,,,0.0175,,,,20.7,,,2.1,,,,,,,,,,,,
,36,,,1.6790,,,,,,216.9,,,0.0160,,,,20.7,,,1.9,,,,,,,,,,,,
,37,,,1.6930,,,,,,218.3,,,0.0140,,,,20.7,,,1.4,,,,,,,,,,,,
,38,,,1.7055,,,,,,219.7,,,0.0125,,,,20.7,,,1.4,,,,,,,,,,,,
,39,,,1.7200,,,,,,221.0,,,0.0145,,,,20.7,,,1.3,,,,,,,,,,,,
,40,,,1.7340,,,,,,222.3,,,0.0140,,,,20.7,,,1.3,,,,,,,,,,,,
,41,,,1.7455,,,,,,223.4,,,0.0115,,,,20.7,,,1.1,,,,,,,,,,,,
,42,,,1.7565,,,,,,224.2,,,0.0110,,,,20.7,,,0.8,,,,,,,,,,,,
,43,,,1.7670,,,,,,224.9,,,0.0105,,,,20.7,,,0.7,,,,,,,,,,,,
,44,,,1.7790,,,,,,225.7,,,0.0120,,,,20.7,,,0.8,,,,,,,,,,,,
,45,,,1.7895,,,,,,226.5,,,0.0105,,,,20.7,,,0.8,,,,,,,,,,,,
,46,,,1.7965,,,,,,227.0,,,0.0070,,,,20.7,,,0.5,,,,,,,,,,,,
,47,,,1.8030,,,,,,227.5,,,0.0065,,,,20.7,,,0.5,,,,,,,,,,,,
,48,,,1.8105,,,,,,228.0,,,0.0075,,,,20.7,,,0.5,,,,,,,,,,,,
,49,,,1.8170,,,,,,228.5,,,0.0065,,,,20.7,,,0.5,,,,,,,,,,,,
,50,,,1.8230,,,,,,229.0,,,0.0060,,,,20.7,,,0.5,,,,,,,,,,,,
,51,,,1.8265,,,,,,229.3,,,0.0035,,,,20.7,,,0.3,,,,,,,,,,,,
,52,,,1.8295,,,,,,229.5,,,0.0030,,,,20.7,,,0.2,,,,,,,,,,,,
,53,,,1.8340,,,,,,229.7,,,0.0045,,,,20.7,,,0.2,,,,,,,,,,,,
,54,,,1.8390,,,,,,230.0,,,0.0050,,,,20.7,,,0.3,,,,,,,,,,,,
,55,,,1.8425,,,,,,230.3,,,0.0035,,,,20.7,,,0.3,,,,,,,,,,,,
,56,,,1.8450,,,,,,230.4,,,0.0025,,,,20.7,,,0.1,,,,,,,,,,,,
,57,,,1.8475,,,,,,230.6,,,0.0025,,,,20.7,,,0.2,,,,,,,,,,,,
,58,,,1.8505,,,,,,230.8,,,0.0030,,,,20.7,,,0.2,,,,,,,,,,,,
,59,,,1.8520,,,,,,231.0,,,0.0015,,,,20.7,,,0.2,,,,,,,,,,,,
,60,,,1.8530,,,,,,231.1,,,0.0010,,,,20.7,,,0.1,,,,,,,,,,,,
