Gran Titration Data Report - Nielsen Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sample ID,,,,,,,,,,,Name,,,,,Result,,,,,,,,,State,,,,
,266,,,,1.7600,,,,,,,270.7,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,269,,,,1.7800,,,,,,,270.9,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,272,,,,1.8000,,,,,,,271.1,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,275,,,,1.8200,,,,,,,271.3,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,278,,,,1.8400,,,,,,,271.6,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,281,,,,1.8600,,,,,,,271.8,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,284,,,,1.8800,,,,,,,272.0,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,287,,,,1.9000,,,,,,,272.2,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,290,,,,1.9200,,,,,,,272.4,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,293,,,,1.9400,,,,,,,272.6,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,296,,,,1.9600,,,,,,,272.8,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,299,,,,1.9800,,,,,,,272.9,,,0.0200,,,21.3,,,,,,,0.1,,,,,,,
,302,,,,2.0000,,,,,,,273.1,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,305,,,,2.0200,,,,,,,273.3,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,308,,,,2.0400,,,,,,,273.6,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,311,,,,2.0600,,,,,,,273.7,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,314,,,,2.0800,,,,,,,274.0,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,317,,,,2.1000,,,,,,,274.2,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,320,,,,2.1200,,,,,,,274.3,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,323,,,,2.1400,,,,,,,274.5,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,326,,,,2.1600,,,,,,,274.7,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,329,,,,2.1800,,,,,,,274.9,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,332,,,,2.2000,,,,,,,275.0,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,335,,,,2.2200,,,,,,,275.2,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,338,,,,2.2400,,,,,,,275.3,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,341,,,,2.2600,,,,,,,275.5,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,344,,,,2.2800,,,,,,,275.7,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,347,,,,2.3000,,,,,,,275.9,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,350,,,,2.3200,,,,,,,276.1,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,353,,,,2.3400,,,,,,,276.3,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,356,,,,2.3600,,,,,,,276.4,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,359,,,,2.3800,,,,,,,276.5,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,362,,,,2.4000,,,,,,,276.7,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,365,,,,2.4200,,,,,,,276.9,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,368,,,,2.4400,,,,,,,277.1,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,371,,,,2.4600,,,,,,,277.2,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,374,,,,2.4800,,,,,,,277.4,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,377,,,,2.5000,,,,,,,277.6,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,380,,,,2.5200,,,,,,,277.7,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,383,,,,2.5400,,,,,,,277.9,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,386,,,,2.5600,,,,,,,278.1,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,389,,,,2.5800,,,,,,,278.2,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,392,,,,2.6000,,,,,,,278.4,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,396,,,,2.6200,,,,,,,278.5,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,399,,,,2.6400,,,,,,,278.6,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,402,,,,2.6600,,,,,,,278.8,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,405,,,,2.6800,,,,,,,279.0,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,408,,,,2.7000,,,,,,,279.1,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,411,,,,2.7200,,,,,,,279.3,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,414,,,,2.7400,,,,,,,279.4,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,417,,,,2.7600,,,,,,,279.6,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,420,,,,2.7800,,,,,,,279.7,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,423,,,,2.8000,,,,,,,279.8,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,426,,,,2.8200,,,,,,,280.0,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,429,,,,2.8400,,,,,,,280.2,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,432,,,,2.8600,,,,,,,280.3,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,435,,,,2.8800,,,,,,,280.4,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,438,,,,2.9000,,,,,,,280.6,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,441,,,,2.9200,,,,,,,280.7,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,444,,,,2.9400,,,,,,,280.9,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,447,,,,2.9600,,,,,,,281.0,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,450,,,,2.9800,,,,,,,281.1,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,453,,,,3.0000,,,,,,,281.2,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,456,,,,3.0200,,,,,,,281.4,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,459,,,,3.0400,,,,,,,281.5,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,462,,,,3.0600,,,,,,,281.6,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,465,,,,3.0800,,,,,,,281.8,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,468,,,,3.1000,,,,,,,281.9,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,471,,,,3.1200,,,,,,,282.0,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,474,,,,3.1400,,,,,,,282.2,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,477,,,,3.1600,,,,,,,282.3,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,480,,,,3.1800,,,,,,,282.4,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,483,,,,3.2000,,,,,,,282.5,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,486,,,,3.2200,,,,,,,282.7,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,489,,,,3.2400,,,,,,,282.8,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,492,,,,3.2600,,,,,,,282.9,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,495,,,,3.2800,,,,,,,283.1,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,498,,,,3.3000,,,,,,,283.2,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,501,,,,3.3200,,,,,,,283.3,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,504,,,,3.3400,,,,,,,283.4,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,507,,,,3.3600,,,,,,,283.6,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,510,,,,3.3800,,,,,,,283.7,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,513,,,,3.4000,,,,,,,283.8,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,516,,,,3.4200,,,,,,,283.9,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,519,,,,3.4400,,,,,,,284.0,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,522,,,,3.4600,,,,,,,284.2,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,525,,,,3.4800,,,,,,,284.3,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,528,,,,3.5000,,,,,,,284.4,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,531,,,,3.5200,,,,,,,284.5,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,534,,,,3.5400,,,,,,,284.6,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,537,,,,3.5600,,,,,,,284.7,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,540,,,,3.5800,,,,,,,284.8,,,0.0200,,,21.4,,,,,,,0.1,,,,,,,
,543,,,,3.6000,,,,,,,285.0,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,,,,"Scope 1/1, Sample 5/15",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 5/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,,,,,Meas. value,,,,,,,Temp.,,,,,dE,,,,,,,,,,,
,[s],,,,,,,,[mV],,,,,,,[°C],,,,,[mV],,,,,,,,,,,
,1,,,,,,,,-40.8,,,,,,,20.9,,,,,,,,,,,,,,,,
,2,,,,,,,,-40.8,,,,,,,20.9,,,,,0.0,,,,,,,,,,,
,3,,,,,,,,-40.8,,,,,,,20.9,,,,,0.0,,,,,,,,,,,
,4,,,,,,,,-40.8,,,,,,,20.9,,,,,0.0,,,,,,,,,,,
,5,,,,,,,,-40.8,,,,,,,20.9,,,,,0.0,,,,,,,,,,,
,6,,,,,,,,-40.8,,,,,,,20.9,,,,,0.0,,,,,,,,,,,
,7,,,,,,,,-40.8,,,,,,,20.9,,,,,0.0,,,,,,,,,,,
,8,,,,,,,,-40.8,,,,,,,20.9,,,,,0.0,,,,,,,,,,,
,9,,,,,,,,-40.8,,,,,,,20.9,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,,,,"Scope 1/1, Sample 5/15",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 5/15",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 5/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,V,,,,,,Meas. value,,,dV,,,,Temp.,,,dE,,,,,,,EP,,,,,
,[s],,,[mL],,,,,,[mV],,,[mL],,,,[°C],,,[mV],,,,,,,,,,,,
,0,,,0.0000,,,,,,-40.9,,,,,,,20.9,,,,,,,,,,,,,,,
,1,,,0.0010,,,,,,-41.0,,,0.0010,,,,20.9,,,-0.1,,,,,,,,,,,,
,2,,,0.0050,,,,,,-41.0,,,0.0040,,,,20.9,,,0.0,,,,,,,,,,,,
,3,,,0.0110,,,,,,-40.8,,,0.0060,,,,20.9,,,0.2,,,,,,,,,,,,
,4,,,0.0195,,,,,,-40.4,,,0.0085,,,,20.9,,,0.4,,,,,,,,,,,,
,5,,,0.0335,,,,,,-39.4,,,0.0140,,,,20.9,,,1.0,,,,,,,,,,,,
,6,,,0.0535,,,,,,-37.7,,,0.0200,,,,20.9,,,1.7,,,,,,,,,,,,
,7,,,0.0810,,,,,,-35.3,,,0.0275,,,,20.9,,,2.4,,,,,,,,,,,,
,8,,,0.1115,,,,,,-31.4,,,0.0305,,,,20.9,,,3.9,,,,,,,,,,,,
,9,,,0.1530,,,,,,-26.3,,,0.0415,,,,20.9,,,5.1,,,,,,,,,,,,
,10,,,0.2040,,,,,,-20.4,,,0.0510,,,,20.9,,,5.9,,,,,,,,,,,,
,11,,,0.2660,,,,,,-14.3,,,0.0620,,,,20.9,,,6.1,,,,,,,,,,,,
,12,,,0.3405,,,,,,-8.3,,,0.0745,,,,20.9,,,6.0,,,,,,,,,,,,
,13,,,0.4265,,,,,,-2.5,,,0.0860,,,,20.9,,,5.8,,,,,,,,,,,,
,14,,,0.5155,,,,,,4.2,,,0.0890,,,,20.9,,,6.7,,,,,,,,,,,,
,15,,,0.6270,,,,,,13.4,,,0.1115,,,,20.9,,,9.2,,,,,,,,,,,,
,16,,,0.7510,,,,,,24.9,,,0.1240,,,,20.9,,,11.5,,,,,,,,,,,,
,17,,,0.8885,,,,,,40.1,,,0.1375,,,,20.9,,,15.2,,,,,,,,,,,,
,18,,,1.0375,,,,,,64.5,,,0.1490,,,,20.9,,,24.4,,,,,,,,,,,,
,19,,,1.1820,,,,,,100.4,,,0.1445,,,,21.0,,,35.9,,,,,,,,,,,,
,20,,,1.3475,,,,,,153.3,,,0.1655,,,,21.0,,,52.9,,,,,,,,,,,,
,21,,,1.3545,,,,,,198.6,,,0.0070,,,,21.0,,,45.3,,,,,,,,,,,,
,22,,,1.3545,,,,,,209.7,,,0.0000,,,,21.0,,,11.1,,,,,,,,,,,,
,23,,,1.3555,,,,,,211.7,,,0.0010,,,,21.0,,,2.0,,,,,,,,,,,,
,24,,,1.3585,,,,,,212.4,,,0.0030,,,,21.0,,,0.7,,,,,,,,,,,,
,25,,,1.3620,,,,,,212.9,,,0.0035,,,,21.0,,,0.5,,,,,,,,,,,,
,26,,,1.3680,,,,,,213.4,,,0.0060,,,,21.0,,,0.5,,,,,,,,,,,,
,27,,,1.3770,,,,,,214.2,,,0.0090,,,,21.0,,,0.8,,,,,,,,,,,,
,28,,,1.3895,,,,,,215.1,,,0.0125,,,,21.0,,,0.9,,,,,,,,,,,,
,29,,,1.4055,,,,,,216.4,,,0.0160,,,,21.0,,,1.3,,,,,,,,,,,,
,30,,,1.4235,,,,,,217.9,,,0.0180,,,,21.0,,,1.5,,,,,,,,,,,,
,31,,,1.4420,,,,,,219.5,,,0.0185,,,,21.0,,,1.6,,,,,,,,,,,,
,32,,,1.4550,,,,,,220.9,,,0.0130,,,,21.0,,,1.4,,,,,,,,,,,,
,33,,,1.4675,,,,,,222.1,,,0.0125,,,,21.0,,,1.2,,,,,,,,,,,,
,34,,,1.4795,,,,,,223.1,,,0.0120,,,,21.0,,,1.0,,,,,,,,,,,,
,35,,,1.4920,,,,,,224.1,,,0.0125,,,,21.0,,,1.0,,,,,,,,,,,,
,36,,,1.5030,,,,,,225.0,,,0.0110,,,,21.0,,,0.9,,,,,,,,,,,,
,37,,,1.5110,,,,,,225.6,,,0.0080,,,,21.0,,,0.6,,,,,,,,,,,,
,38,,,1.5200,,,,,,226.2,,,0.0090,,,,21.0,,,0.6,,,,,,,,,,,,
,39,,,1.5300,,,,,,226.9,,,0.0100,,,,21.0,,,0.7,,,,,,,,,,,,
,40,,,1.5380,,,,,,227.6,,,0.0080,,,,21.0,,,0.7,,,,,,,,,,,,
,41,,,1.5410,,,,,,228.0,,,0.0030,,,,21.0,,,0.4,,,,,,,,,,,,
,42,,,1.5450,,,,,,228.3,,,0.0040,,,,21.0,,,0.3,,,,,,,,,,,,
,43,,,1.5505,,,,,,228.6,,,0.0055,,,,21.0,,,0.3,,,,,,,,,,,,
,44,,,1.5575,,,,,,228.9,,,0.0070,,,,21.0,,,0.3,,,,,,,,,,,,
,45,,,1.5665,,,,,,229.3,,,0.0090,,,,21.0,,,0.4,,,,,,,,,,,,
,46,,,1.5705,,,,,,229.6,,,0.0040,,,,21.0,,,0.3,,,,,,,,,,,,
,47,,,1.5725,,,,,,229.9,,,0.0020,,,,21.0,,,0.3,,,,,,,,,,,,
,48,,,1.5755,,,,,,230.1,,,0.0030,,,,21.0,,,0.2,,,,,,,,,,,,
,49,,,1.5795,,,,,,230.3,,,0.0040,,,,21.0,,,0.2,,,,,,,,,,,,
,50,,,1.5835,,,,,,230.5,,,0.0040,,,,21.0,,,0.2,,,,,,,,,,,,
,51,,,1.5870,,,,,,230.7,,,0.0035,,,,21.0,,,0.2,,,,,,,,,,,,
,52,,,1.5885,,,,,,230.9,,,0.0015,,,,21.0,,,0.2,,,,,,,,,,,,
,53,,,1.5910,,,,,,231.0,,,0.0025,,,,21.0,,,0.1,,,,,,,,,,,,
,54,,,1.5935,,,,,,231.1,,,0.0025,,,,21.0,,,0.1,,,,,,,,,,,,
,55,,,1.5940,,,,,,231.1,,,0.0005,,,,21.0,,,0.0,,,,,,,,,,,,
,56,,,1.5955,,,,,,231.3,,,0.0015,,,,21.0,,,0.2,,,,,,,,,,,,
,57,,,1.5990,,,,,,231.4,,,0.0035,,,,21.0,,,0.1,,,,,,,,,,,,
,58,,,1.6020,,,,,,231.6,,,0.0030,,,,21.0,,,0.2,,,,,,,,,,,,
,59,,,1.6045,,,,,,231.8,,,0.0025,,,,21.0,,,0.2,,,,,,,,,,,,
,60,,,1.6065,,,,,,231.9,,,0.0020,,,,21.0,,,0.1,,,,,,,,,,,,
,,,,1.607250,,,,,,232.0,,,,,,,,,,,,,,,,,EP,,,,,
,61,,,1.6080,,,,,,232.1,,,0.0015,,,,21.0,,,0.2,,,,,,,,,,,,
,62,,,1.6085,,,,,,232.2,,,0.0005,,,,21.0,,,0.1,,,,,,,,,,,,
,63,,,1.6085,,,,,,232.2,,,0.0000,,,,21.0,,,0.0,,,,,,,,,,,,
,64,,,1.6085,,,,,,232.2,,,0.0000,,,,21.0,,,0.0,,,,,,,,,,,,
,65,,,1.6085,,,,,,232.1,,,0.0000,,,,21.0,,,-0.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EQP) [2],,,,,,,,,,,"Scope 1/1, Sample 5/15",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 5/15",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 5/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,V,,,,,,,Meas. value,,,dV,,,Temp.,,,,,,,dE,,,,,,,
,[s],,,,[mL],,,,,,,[mV],,,[mL],,,[°C],,,,,,,[mV],,,,,,,
,0,,,,0.0000,,,,,,,232.7,,,,,,21.3,,,,,,,,,,,,,,
,3,,,,0.0200,,,,,,,233.5,,,0.0200,,,21.3,,,,,,,0.8,,,,,,,
,6,,,,0.0400,,,,,,,234.5,,,0.0200,,,21.3,,,,,,,1.0,,,,,,,
,9,,,,0.0600,,,,,,,235.5,,,0.0200,,,21.3,,,,,,,1.0,,,,,,,
,12,,,,0.0800,,,,,,,236.5,,,0.0200,,,21.3,,,,,,,1.0,,,,,,,
,15,,,,0.1000,,,,,,,237.3,,,0.0200,,,21.3,,,,,,,0.8,,,,,,,
,18,,,,0.1200,,,,,,,238.2,,,0.0200,,,21.3,,,,,,,0.9,,,,,,,
,21,,,,0.1400,,,,,,,239.0,,,0.0200,,,21.3,,,,,,,0.8,,,,,,,
,24,,,,0.1600,,,,,,,239.8,,,0.0200,,,21.3,,,,,,,0.8,,,,,,,
,27,,,,0.1800,,,,,,,240.5,,,0.0200,,,21.3,,,,,,,0.7,,,,,,,
,30,,,,0.2000,,,,,,,241.3,,,0.0200,,,21.3,,,,,,,0.8,,,,,,,
,33,,,,0.2200,,,,,,,242.0,,,0.0200,,,21.3,,,,,,,0.7,,,,,,,
,36,,,,0.2400,,,,,,,242.7,,,0.0200,,,21.3,,,,,,,0.7,,,,,,,
,39,,,,0.2600,,,,,,,243.5,,,0.0200,,,21.3,,,,,,,0.8,,,,,,,
,42,,,,0.2800,,,,,,,244.2,,,0.0200,,,21.3,,,,,,,0.7,,,,,,,
,45,,,,0.3000,,,,,,,244.8,,,0.0200,,,21.3,,,,,,,0.6,,,,,,,
,48,,,,0.3200,,,,,,,245.4,,,0.0200,,,21.3,,,,,,,0.6,,,,,,,
,51,,,,0.3400,,,,,,,246.1,,,0.0200,,,21.3,,,,,,,0.7,,,,,,,
,54,,,,0.3600,,,,,,,246.7,,,0.0200,,,21.3,,,,,,,0.6,,,,,,,
,57,,,,0.3800,,,,,,,247.2,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,60,,,,0.4000,,,,,,,247.8,,,0.0200,,,21.3,,,,,,,0.6,,,,,,,
,64,,,,0.4200,,,,,,,248.4,,,0.0200,,,21.3,,,,,,,0.6,,,,,,,
,66,,,,0.4400,,,,,,,248.9,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,70,,,,0.4600,,,,,,,249.5,,,0.0200,,,21.3,,,,,,,0.6,,,,,,,
,72,,,,0.4800,,,,,,,250.0,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,76,,,,0.5000,,,,,,,250.6,,,0.0200,,,21.3,,,,,,,0.6,,,,,,,
,78,,,,0.5200,,,,,,,251.0,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,82,,,,0.5400,,,,,,,251.5,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,84,,,,0.5600,,,,,,,252.0,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,88,,,,0.5800,,,,,,,252.4,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,91,,,,0.6000,,,,,,,252.9,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,94,,,,0.6200,,,,,,,253.3,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,97,,,,0.6400,,,,,,,253.8,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,100,,,,0.6600,,,,,,,254.2,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,103,,,,0.6800,,,,,,,254.7,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,106,,,,0.7000,,,,,,,255.1,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,109,,,,0.7200,,,,,,,255.6,,,0.0200,,,21.3,,,,,,,0.5,,,,,,,
,112,,,,0.7400,,,,,,,256.0,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,115,,,,0.7600,,,,,,,256.4,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,118,,,,0.7800,,,,,,,256.7,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,121,,,,0.8000,,,,,,,257.1,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,124,,,,0.8200,,,,,,,257.5,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,127,,,,0.8400,,,,,,,257.9,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,130,,,,0.8600,,,,,,,258.3,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,133,,,,0.8800,,,,,,,258.7,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,136,,,,0.9000,,,,,,,259.1,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,139,,,,0.9200,,,,,,,259.4,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,142,,,,0.9400,,,,,,,259.8,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,145,,,,0.9600,,,,,,,260.1,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,148,,,,0.9800,,,,,,,260.4,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,151,,,,1.0000,,,,,,,260.7,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,154,,,,1.0200,,,,,,,261.1,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,157,,,,1.0400,,,,,,,261.4,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,160,,,,1.0600,,,,,,,261.8,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,163,,,,1.0800,,,,,,,262.1,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,166,,,,1.1000,,,,,,,262.4,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,169,,,,1.1200,,,,,,,262.7,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,172,,,,1.1400,,,,,,,263.0,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,175,,,,1.1600,,,,,,,263.3,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,178,,,,1.1800,,,,,,,263.6,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,181,,,,1.2000,,,,,,,263.8,,,0.0200,,,21.3,,,,,,,0.2,,,,,,,
,184,,,,1.2200,,,,,,,264.2,,,0.0200,,,21.3,,,,,,,0.4,,,,,,,
,187,,,,1.2400,,,,,,,264.5,,,0.0200,,,21.3,,,,,,,0.3,,,,,,,
,190,,,,1.2600,,,,,,,264.7,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,193,,,,1.2800,,,,,,,265.1,,,0.0200,,,21.4,,,,,,,0.4,,,,,,,
,196,,,,1.3000,,,,,,,265.4,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,199,,,,1.3200,,,,,,,265.6,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,202,,,,1.3400,,,,,,,265.9,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,205,,,,1.3600,,,,,,,266.1,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,208,,,,1.3800,,,,,,,266.4,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,211,,,,1.4000,,,,,,,266.7,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,214,,,,1.4200,,,,,,,266.9,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,217,,,,1.4400,,,,,,,267.2,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,220,,,,1.4600,,,,,,,267.4,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,223,,,,1.4800,,,,,,,267.7,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,226,,,,1.5000,,,,,,,268.0,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,229,,,,1.5200,,,,,,,268.2,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,232,,,,1.5400,,,,,,,268.4,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
,235,,,,1.5600,,,,,,,268.7,,,0.0200,,,21.4,,,,,,,0.3,,,,,,,
,238,,,,1.5800,,,,,,,268.9,,,0.0200,,,21.4,,,,,,,0.2,,,,,,,
