,3,,,,,,,,234.0,,,,,,,19.8,,,,,0.0,,,,,,,,,,,
,4,,,,,,,,234.0,,,,,,,19.8,,,,,0.0,,,,,,,,,,,
,5,,,,,,,,234.0,,,,,,,19.8,,,,,0.0,,,,,,,,,,,
,6,,,,,,,,234.0,,,,,,,19.8,,,,,0.0,,,,,,,,,,,
,7,,,,,,,,234.0,,,,,,,19.8,,,,,0.0,,,,,,,,,,,
,8,,,,,,,,234.0,,,,,,,19.8,,,,,0.0,,,,,,,,,,,
,9,,,,,,,,234.1,,,,,,,19.8,,,,,0.1,,,,,,,,,,,
,10,,,,,,,,234.1,,,,,,,19.8,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,V,,,,,,Meas. value,,,dV,,,,Temp.,,,dE,,,,,,,EP,,,,,
,[s],,,[mL],,,,,,[mV],,,[mL],,,,[°C],,,[mV],,,,,,,,,,,,
,0,,,0.0000,,,,,,234.1,,,,,,,19.8,,,,,,,,,,,,,,,
,1,,,0.0010,,,,,,234.1,,,0.0010,,,,19.8,,,0.0,,,,,,,,,,,,
,2,,,0.0050,,,,,,234.1,,,0.0040,,,,19.8,,,0.0,,,,,,,,,,,,
,3,,,0.0105,,,,,,234.2,,,0.0055,,,,19.8,,,0.1,,,,,,,,,,,,
,4,,,0.0135,,,,,,234.4,,,0.0030,,,,19.8,,,0.2,,,,,,,,,,,,
,5,,,0.0140,,,,,,234.5,,,0.0005,,,,19.8,,,0.1,,,,,,,,,,,,
,6,,,0.0165,,,,,,234.6,,,0.0025,,,,19.8,,,0.1,,,,,,,,,,,,
,7,,,0.0190,,,,,,234.8,,,0.0025,,,,19.8,,,0.2,,,,,,,,,,,,
,8,,,0.0205,,,,,,234.9,,,0.0015,,,,19.9,,,0.1,,,,,,,,,,,,
,9,,,0.0225,,,,,,235.0,,,0.0020,,,,19.8,,,0.1,,,,,,,,,,,,
,,,,0.0225,,,,,,235.0,,,,,,,,,,,,,,,,,EP,,,,,
,10,,,0.0235,,,,,,235.1,,,0.0010,,,,19.9,,,0.1,,,,,,,,,,,,
,11,,,0.0235,,,,,,235.2,,,0.0000,,,,19.9,,,0.1,,,,,,,,,,,,
,12,,,0.0235,,,,,,235.2,,,0.0000,,,,19.9,,,0.0,,,,,,,,,,,,
,12,,,0.0235,,,,,,235.3,,,0.0000,,,,19.9,,,0.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EQP) [2],,,,,,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,V,,,,,,,Meas. value,,,dV,,,Temp.,,,,,,,dE,,,,,,,
,[s],,,,[mL],,,,,,,[mV],,,[mL],,,[°C],,,,,,,[mV],,,,,,,
,0,,,,0.0000,,,,,,,235.3,,,,,,20.1,,,,,,,,,,,,,,
,3,,,,0.0200,,,,,,,236.3,,,0.0200,,,20.1,,,,,,,1.0,,,,,,,
,6,,,,0.0400,,,,,,,237.4,,,0.0200,,,20.1,,,,,,,1.1,,,,,,,
,9,,,,0.0600,,,,,,,238.6,,,0.0200,,,20.1,,,,,,,1.2,,,,,,,
,12,,,,0.0800,,,,,,,239.8,,,0.0200,,,20.1,,,,,,,1.2,,,,,,,
,15,,,,0.1000,,,,,,,240.9,,,0.0200,,,20.1,,,,,,,1.1,,,,,,,
,18,,,,0.1200,,,,,,,242.0,,,0.0200,,,20.1,,,,,,,1.1,,,,,,,
,21,,,,0.1400,,,,,,,243.0,,,0.0200,,,20.1,,,,,,,1.0,,,,,,,
,24,,,,0.1600,,,,,,,243.9,,,0.0200,,,20.1,,,,,,,0.9,,,,,,,
,27,,,,0.1800,,,,,,,244.7,,,0.0200,,,20.1,,,,,,,0.8,,,,,,,
,30,,,,0.2000,,,,,,,245.6,,,0.0200,,,20.1,,,,,,,0.9,,,,,,,
,33,,,,0.2200,,,,,,,246.5,,,0.0200,,,20.1,,,,,,,0.9,,,,,,,
,36,,,,0.2400,,,,,,,247.3,,,0.0200,,,20.1,,,,,,,0.8,,,,,,,
,39,,,,0.2600,,,,,,,248.1,,,0.0200,,,20.1,,,,,,,0.8,,,,,,,
,42,,,,0.2800,,,,,,,248.9,,,0.0200,,,20.1,,,,,,,0.8,,,,,,,
,45,,,,0.3000,,,,,,,249.6,,,0.0200,,,20.1,,,,,,,0.7,,,,,,,
,48,,,,0.3200,,,,,,,250.4,,,0.0200,,,20.1,,,,,,,0.8,,,,,,,
,51,,,,0.3400,,,,,,,251.1,,,0.0200,,,20.1,,,,,,,0.7,,,,,,,
,54,,,,0.3600,,,,,,,251.7,,,0.0200,,,20.1,,,,,,,0.6,,,,,,,
,57,,,,0.3800,,,,,,,252.3,,,0.0200,,,20.1,,,,,,,0.6,,,,,,,
,60,,,,0.4000,,,,,,,253.0,,,0.0200,,,20.1,,,,,,,0.7,,,,,,,
,64,,,,0.4200,,,,,,,253.6,,,0.0200,,,20.1,,,,,,,0.6,,,,,,,
,66,,,,0.4400,,,,,,,254.2,,,0.0200,,,20.1,,,,,,,0.6,,,,,,,
,70,,,,0.4600,,,,,,,254.8,,,0.0200,,,20.1,,,,,,,0.6,,,,,,,
,72,,,,0.4800,,,,,,,255.4,,,0.0200,,,20.1,,,,,,,0.6,,,,,,,
,76,,,,0.5000,,,,,,,256.0,,,0.0200,,,20.1,,,,,,,0.6,,,,,,,
,79,,,,0.5200,,,,,,,256.6,,,0.0200,,,20.1,,,,,,,0.6,,,,,,,
,82,,,,0.5400,,,,,,,257.1,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,85,,,,0.5600,,,,,,,257.6,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,88,,,,0.5800,,,,,,,258.1,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,91,,,,0.6000,,,,,,,258.6,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,94,,,,0.6200,,,,,,,259.1,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,97,,,,0.6400,,,,,,,259.6,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,100,,,,0.6600,,,,,,,260.1,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,103,,,,0.6800,,,,,,,260.5,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,106,,,,0.7000,,,,,,,261.0,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,109,,,,0.7200,,,,,,,261.5,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,112,,,,0.7400,,,,,,,261.9,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,115,,,,0.7600,,,,,,,262.2,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,118,,,,0.7800,,,,,,,262.7,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,121,,,,0.8000,,,,,,,263.2,,,0.0200,,,20.1,,,,,,,0.5,,,,,,,
,124,,,,0.8200,,,,,,,263.5,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,127,,,,0.8400,,,,,,,263.9,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,130,,,,0.8600,,,,,,,264.3,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,133,,,,0.8800,,,,,,,264.7,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,136,,,,0.9000,,,,,,,265.1,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,139,,,,0.9200,,,,,,,265.5,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,142,,,,0.9400,,,,,,,265.9,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,145,,,,0.9600,,,,,,,266.2,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,148,,,,0.9800,,,,,,,266.5,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,151,,,,1.0000,,,,,,,266.9,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,154,,,,1.0200,,,,,,,267.2,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,157,,,,1.0400,,,,,,,267.6,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,160,,,,1.0600,,,,,,,268.0,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,163,,,,1.0800,,,,,,,268.3,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,166,,,,1.1000,,,,,,,268.6,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,169,,,,1.1200,,,,,,,269.0,,,0.0200,,,20.1,,,,,,,0.4,,,,,,,
,172,,,,1.1400,,,,,,,269.3,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,175,,,,1.1600,,,,,,,269.5,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,178,,,,1.1800,,,,,,,269.8,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,181,,,,1.2000,,,,,,,270.1,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,184,,,,1.2200,,,,,,,270.4,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,187,,,,1.2400,,,,,,,270.7,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,190,,,,1.2600,,,,,,,271.0,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,193,,,,1.2800,,,,,,,271.3,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,196,,,,1.3000,,,,,,,271.6,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,199,,,,1.3200,,,,,,,271.9,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,202,,,,1.3400,,,,,,,272.2,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,205,,,,1.3600,,,,,,,272.5,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,208,,,,1.3800,,,,,,,272.7,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,211,,,,1.4000,,,,,,,273.0,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,214,,,,1.4200,,,,,,,273.2,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,218,,,,1.4400,,,,,,,273.5,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,220,,,,1.4600,,,,,,,273.8,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,224,,,,1.4800,,,,,,,274.0,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,227,,,,1.5000,,,,,,,274.3,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,230,,,,1.5200,,,,,,,274.5,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,233,,,,1.5400,,,,,,,274.8,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,236,,,,1.5600,,,,,,,275.0,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,239,,,,1.5800,,,,,,,275.2,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,242,,,,1.6000,,,,,,,275.5,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,245,,,,1.6200,,,,,,,275.7,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,248,,,,1.6400,,,,,,,275.9,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,251,,,,1.6600,,,,,,,276.2,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,254,,,,1.6800,,,,,,,276.4,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,257,,,,1.7000,,,,,,,276.6,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,260,,,,1.7200,,,,,,,276.9,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,263,,,,1.7400,,,,,,,277.1,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,266,,,,1.7600,,,,,,,277.3,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,269,,,,1.7800,,,,,,,277.5,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,272,,,,1.8000,,,,,,,277.7,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,275,,,,1.8200,,,,,,,278.0,,,0.0200,,,20.1,,,,,,,0.3,,,,,,,
,278,,,,1.8400,,,,,,,278.1,,,0.0200,,,20.1,,,,,,,0.1,,,,,,,
,281,,,,1.8600,,,,,,,278.3,,,0.0200,,,20.1,,,,,,,0.2,,,,,,,
,284,,,,1.8800,,,,,,,278.6,,,0.0200,,,20.2,,,,,,,0.3,,,,,,,
,287,,,,1.9000,,,,,,,278.8,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,290,,,,1.9200,,,,,,,279.0,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,293,,,,1.9400,,,,,,,279.2,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,296,,,,1.9600,,,,,,,279.3,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,299,,,,1.9800,,,,,,,279.6,,,0.0200,,,20.2,,,,,,,0.3,,,,,,,
,302,,,,2.0000,,,,,,,279.7,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,305,,,,2.0200,,,,,,,279.9,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,308,,,,2.0400,,,,,,,280.1,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,311,,,,2.0600,,,,,,,280.3,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,314,,,,2.0800,,,,,,,280.5,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,317,,,,2.1000,,,,,,,280.7,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,320,,,,2.1200,,,,,,,280.9,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,323,,,,2.1400,,,,,,,281.1,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,326,,,,2.1600,,,,,,,281.2,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,329,,,,2.1800,,,,,,,281.4,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,332,,,,2.2000,,,,,,,281.6,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,335,,,,2.2200,,,,,,,281.8,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,338,,,,2.2400,,,,,,,281.9,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,341,,,,2.2600,,,,,,,282.1,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,344,,,,2.2800,,,,,,,282.3,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,347,,,,2.3000,,,,,,,282.5,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,350,,,,2.3200,,,,,,,282.6,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,353,,,,2.3400,,,,,,,282.8,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,356,,,,2.3600,,,,,,,282.9,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,359,,,,2.3800,,,,,,,283.1,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,362,,,,2.4000,,,,,,,283.3,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,366,,,,2.4200,,,,,,,283.4,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,368,,,,2.4400,,,,,,,283.6,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,372,,,,2.4600,,,,,,,283.8,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,375,,,,2.4800,,,,,,,283.9,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,378,,,,2.5000,,,,,,,284.0,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,381,,,,2.5200,,,,,,,284.2,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,384,,,,2.5400,,,,,,,284.4,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,387,,,,2.5600,,,,,,,284.5,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,390,,,,2.5800,,,,,,,284.6,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,393,,,,2.6000,,,,,,,284.8,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,396,,,,2.6200,,,,,,,285.0,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,399,,,,2.6400,,,,,,,285.1,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,402,,,,2.6600,,,,,,,285.3,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,405,,,,2.6800,,,,,,,285.4,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,408,,,,2.7000,,,,,,,285.6,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,411,,,,2.7200,,,,,,,285.7,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,414,,,,2.7400,,,,,,,285.8,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,417,,,,2.7600,,,,,,,286.0,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,420,,,,2.7800,,,,,,,286.2,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,423,,,,2.8000,,,,,,,286.3,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,426,,,,2.8200,,,,,,,286.4,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,429,,,,2.8400,,,,,,,286.5,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,432,,,,2.8600,,,,,,,286.6,,,0.0200,,,20.2,,,,,,,0.1,,,,,,,
,435,,,,2.8800,,,,,,,286.8,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,438,,,,2.9000,,,,,,,287.0,,,0.0200,,,20.2,,,,,,,0.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,,,,"Scope 1/1, Sample 2/13",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 2/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,,,,,Meas. value,,,,,,,Temp.,,,,,dE,,,,,,,,,,,
,[s],,,,,,,,[mV],,,,,,,[°C],,,,,[mV],,,,,,,,,,,
,1,,,,,,,,-33.2,,,,,,,19.6,,,,,,,,,,,,,,,,
,2,,,,,,,,-33.2,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,3,,,,,,,,-33.2,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,4,,,,,,,,-33.2,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,5,,,,,,,,-33.3,,,,,,,19.6,,,,,-0.1,,,,,,,,,,,
,6,,,,,,,,-33.3,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,7,,,,,,,,-33.3,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,8,,,,,,,,-33.3,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,9,,,,,,,,-33.3,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,10,,,,,,,,-33.3,,,,,,,19.6,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,,,,"Scope 1/1, Sample 2/13",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 2/13",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 2/13",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,V,,,,,,Meas. value,,,dV,,,,Temp.,,,dE,,,,,,,EP,,,,,
,[s],,,[mL],,,,,,[mV],,,[mL],,,,[°C],,,[mV],,,,,,,,,,,,
,0,,,0.0000,,,,,,-33.4,,,,,,,19.6,,,,,,,,,,,,,,,
,1,,,0.0010,,,,,,-33.4,,,0.0010,,,,19.6,,,0.0,,,,,,,,,,,,
,2,,,0.0050,,,,,,-33.4,,,0.0040,,,,19.6,,,0.0,,,,,,,,,,,,
,3,,,0.0110,,,,,,-33.4,,,0.0060,,,,19.6,,,0.0,,,,,,,,,,,,
,4,,,0.0195,,,,,,-32.9,,,0.0085,,,,19.6,,,0.5,,,,,,,,,,,,
,5,,,0.0335,,,,,,-32.0,,,0.0140,,,,19.6,,,0.9,,,,,,,,,,,,
,6,,,0.0535,,,,,,-30.5,,,0.0200,,,,19.6,,,1.5,,,,,,,,,,,,
,7,,,0.0775,,,,,,-28.0,,,0.0240,,,,19.6,,,2.5,,,,,,,,,,,,
,8,,,0.1115,,,,,,-24.2,,,0.0340,,,,19.6,,,3.8,,,,,,,,,,,,
,9,,,0.1530,,,,,,-19.1,,,0.0415,,,,19.6,,,5.1,,,,,,,,,,,,
,10,,,0.2045,,,,,,-13.4,,,0.0515,,,,19.6,,,5.7,,,,,,,,,,,,
,11,,,0.2665,,,,,,-7.5,,,0.0620,,,,19.6,,,5.9,,,,,,,,,,,,
,12,,,0.3405,,,,,,-1.3,,,0.0740,,,,19.6,,,6.2,,,,,,,,,,,,
,13,,,0.4175,,,,,,4.1,,,0.0770,,,,19.6,,,5.4,,,,,,,,,,,,
,14,,,0.5165,,,,,,11.8,,,0.0990,,,,19.6,,,7.7,,,,,,,,,,,,
,15,,,0.6280,,,,,,21.7,,,0.1115,,,,19.6,,,9.9,,,,,,,,,,,,
,16,,,0.7535,,,,,,35.8,,,0.1255,,,,19.6,,,14.1,,,,,,,,,,,,
,17,,,0.8900,,,,,,51.3,,,0.1365,,,,19.6,,,15.5,,,,,,,,,,,,
